Frage;Antwort
"Nenne die 7 SI-Basisgrößen mit Einheiten.";"Zeit (s), Länge (m), Masse (kg), Stromstärke (A), Temperatur (K), Lichtstärke (cd), Stoffmenge (mol)."
"Wie berechnet man die Dichte?";"ρ = m / V (Masse durch Volumen), z. B. in kg/dm³."
"Was ist die Wichte?";"γ = F_G / V – Gewichtskraft pro Volumen, in N/dm³."
"Wie lautet das Grundgesetz der Mechanik?";"F = m · a (1 N = 1 kg·m/s²)."
"Wie berechnet man die Gewichtskraft?";"F_G = m · g mit g ≈ 9,81 m/s²."
"Wie zerlegt man eine Kraft in Komponenten?";"F_x = F·cos α, F_y = F·sin α; zurück: F = √(F_x²+F_y²), tan α = F_y/F_x."
"Normalkraft und Hangabtriebskraft an der schiefen Ebene?";"F_N = m·g·cos α (senkrecht zur Ebene), F_H = m·g·sin α (hangabwärts)."
"Wie berechnet man die Reibungskraft?";"Haftreibung F_R,max = µ₀·F_N; Gleitreibung F_R = µ·F_N."
"Wie lautet das Hookesche Gesetz?";"F_Fe = c · s (Federkraft = Federsteifigkeit × Federweg)."
"Federn in Reihe bzw. parallel – Gesamtsteifigkeit?";"Reihe: 1/c_res = 1/c₁ + 1/c₂ … (weicher); parallel: c_res = c₁ + c₂ … (steifer)."
"Was ist ein Drehmoment?";"M = F · l – Produkt aus Kraft und Hebelarm, in Nm."
"Wie lautet das Hebelgesetz?";"ΣM_links = ΣM_rechts, also F₁·l₁ = F₂·l₂."
"Nenne die drei statischen Gleichgewichtsbedingungen.";"ΣF_x = 0, ΣF_y = 0, ΣM = 0."
"Formel für die gleichförmige Geschwindigkeit?";"v = s / t (1 m/s = 3,6 km/h)."
"Formeln der gleichmäßig beschleunigten Bewegung?";"a = Δv/Δt, v = a·t, s = ½·a·t², v = √(2·a·s)."
"Formeln für den freien Fall?";"v = g·t, h = ½·g·t², v = √(2·g·h)."
"Wie berechnet man die Umfangsgeschwindigkeit?";"v = π · d · n bzw. v = ω · r."
"Zusammenhang Frequenz, Umlaufzeit, Winkelgeschwindigkeit?";"f = 1/T, T = 1/n, ω = 2π·f."
"Nenne die drei Newtonschen Axiome.";"1. Trägheitsgesetz, 2. Grundgesetz F = m·a, 3. Wechselwirkung (actio = reactio)."
"Wie berechnet man mechanische Arbeit?";"W = F · s; 1 Ws = 1 Nm = 1 J."
"Formeln für potenzielle und kinetische Energie?";"E_pot = m·g·h; E_kin = ½·m·v²."
"Formel für die Federarbeit/-energie?";"W = ½ · c · s²."
"Wie lautet der Energieerhaltungssatz?";"E_End = E_Anfang + W_zu − W_ab – Energie geht nicht verloren, sie wandelt sich um."
"Wie berechnet man die Leistung?";"P = W / t = F · v (bei konstantem v), in Watt."
"Wie ist der Wirkungsgrad definiert?";"η = W_ab / W_zu = P_ab / P_zu; bei mehreren Stufen η_ges = η₁·η₂·…"
"Motor nimmt 5 kW auf, gibt 4 kW ab – Wirkungsgrad?";"η = 4/5 = 0,8 = 80 %."
"Was besagt die Goldene Regel der Mechanik?";"Einfache Maschinen sparen Kraft, aber nie Arbeit – was man an Kraft spart, legt man an Weg zu."
"Wie ist der Druck definiert?";"p = F / A; 1 Pa = 1 N/m², 1 bar = 10⁵ Pa."
"Formel für den Schweredruck?";"p_h = ρ · g · h – hängt nur von Dichte und Höhe ab, nicht von der Gefäßform."
"Wie funktioniert der hydraulische Hebebock?";"Gleicher Druck überall: F₁/F₂ = A₁/A₂ – große Fläche erzeugt große Kraft, dafür kleinerer Weg."
"Wie lautet die allgemeine Zustandsgleichung des idealen Gases?";"p · V / T = konstant."
