Frage;Antwort
"Was kennzeichnet eine proportionale Zuordnung?";"Je mehr, desto mehr – der Quotient y/x = k ist konstant; Gleichung y = k·x; Graf: Ursprungsgerade."
"Was kennzeichnet eine antiproportionale Zuordnung?";"Je mehr, desto weniger – das Produkt x·y = c ist konstant; Gleichung y = c/x; Graf: Hyperbel."
"Dreisatz proportional: Reihenfolge der Rechenschritte?";"Erst durch die Menge dividieren (auf 1), dann mit der neuen Menge multiplizieren."
"Dreisatz antiproportional: Reihenfolge?";"Erst multiplizieren (auf 1), dann dividieren."
"24 m² kosten 840 €. Was kosten 7 m²? (Dreisatz)";"1 m² = 840:24 = 35 €; 7 m² = 35·7 = 245 €."
"Was ist eine Äquivalenzumformung?";"Auf beiden Seiten einer Gleichung dasselbe rechnen (+,−,·,:), sodass die Lösungsmenge gleich bleibt."
"Löse 3x − 5 = 7.";"+5 → 3x = 12 → :3 → x = 4."
"Was passiert bei einer Ungleichung, wenn man mit einer negativen Zahl multipliziert/dividiert?";"Das Vergleichszeichen dreht sich um (z. B. −2x < 6 → x > −3)."
"Was ist eine Funktion?";"Eine eindeutige Zuordnung: jedem x-Wert ist genau ein y-Wert zugeordnet."
"Definitionsmenge vs. Wertemenge?";"D = alle erlaubten x-Werte; W = alle vorkommenden y-Werte."
"Wie lautet die allgemeine Geradengleichung?";"y = m·x + b."
"Wofür stehen m und b in y = m·x + b?";"m = Steigung (Δy/Δx), b = y-Achsenabschnitt (Schnittpunkt mit der y-Achse)."
"Wie berechnet man die Nullstelle einer Geraden y = mx + b?";"y = 0 setzen: 0 = mx + b → x = −b/m."
"Wie findet man den Schnittpunkt zweier Geraden?";"Beide y-Terme gleichsetzen und nach x auflösen, dann y berechnen."
"Nenne die drei Verfahren für lineare Gleichungssysteme.";"Gleichsetzungsverfahren, Einsetzungsverfahren, Additionsverfahren."
"Additionsverfahren – Grundidee?";"Die Gleichungen so addieren (ggf. vorher multiplizieren), dass eine Variable wegfällt."
"Löse: x + y = 10 und x − y = 2 (Additionsverfahren).";"Addieren: 2x = 12 → x = 6; y = 4. Lösung (6|4)."
"Wie bildet man die Umkehrfunktion?";"Gleichung nach x auflösen, dann x und y vertauschen."
"Umkehrfunktion von y = 2x + 4 ?";"y = (x − 4)/2."
"Woran erkennt man den Grafen einer Umkehrfunktion?";"Er ist die Spiegelung des Original-Grafen an der Winkelhalbierenden y = x."
